episode,reward,icu_util,ot_util,waiting_time
160,2,4.0,3.2,2.8000002
161,0.5,5.0,4.0,1.0
162,2,3.0,2.4,4.6
163,0.5,5.0,4.0,1.0
164,0.5,5.0,4.0,1.0
165,2,3.0,2.4,4.6
166,0.5,5.0,4.0,1.0
167,2,4.0,3.2,2.8000002
168,2,4.0,3.2,2.8000002
169,2,1.0,0.8,8.2
170,0.5,5.0,4.0,1.0
171,0.5,5.0,4.0,1.0
172,2,2.0,1.6,6.4
173,2,4.0,3.2,2.8000002
174,2,1.0,0.8,8.2
175,2,2.0,1.6,6.4
176,2,3.0,2.4,4.6
177,2,3.0,2.4,4.6
178,2,1.0,0.8,8.2
179,0.5,5.0,4.0,1.0
180,2,4.0,3.2,2.8000002
181,2,4.0,3.2,2.8000002
182,0.5,5.0,4.0,1.0
183,2,1.0,0.8,8.2
184,2,2.0,1.6,6.4
185,2,4.0,3.2,2.8000002
186,0.5,5.0,4.0,1.0
187,2,4.0,3.2,2.8000002
188,2,1.0,0.8,8.2
189,2,4.0,3.2,2.8000002
190,2,1.0,0.8,8.2
191,2,4.0,3.2,2.8000002
192,2,1.0,0.8,8.2
193,2,3.0,2.4,4.6
194,2,4.0,3.2,2.8000002
195,0.5,5.0,4.0,1.0
196,0.5,5.0,4.0,1.0
197,2,3.0,2.4,4.6
198,2,4.0,3.2,2.8000002
199,2,3.0,2.4,4.6
